BPM,Temp,SR
66,34.25,75
70,34.25,79
73,34.25,70
68,34.25,71
63,34.25,78
67,34.25,78
78,30.625,10
81,30.8125,10
81,30.875,11
82,31.0625,11
80,31.125,12
79,31.25,12
78,31.375,11
76,31.4375,10
75,31.5625,11
74,31.625,11
75,31.6875,12
77,31.8125,13
75,31.875,13
68,32.3125,14
68,32.375,13
83,32.4375,12
83,32.5,12
83,32.5,12
83,32.5625,13
78,32.625,14
76,32.6875,13
76,32.6875,13
82,32.8125,12
83,32.8125,15
83,32.8125,15
83,32.875,16
83,32.9375,15
83,33,16
79,33,15
77,33.0625,15
77,33.0625,16
78,33.0625,15
81,33.125,14
79,33.1875,13
80,33.1875,12
78,33.1875,12
80,33.25,13
81,33.3125,15
82,33.3125,12
83,33.3125,12
81,33.375,12
80,33.375,13
82,33.375,15
81,33.4375,15
82,33.4375,15
82,33.4375,14
82,33.5,12
83,33.5,15
83,33.5,15
82,33.5,14
72,33.5625,13
66,33.5625,12
61,33.625,11
63,33.625,13
71,33.6875,13
78,33.625,14
80,33.625,9
83,33.6875,0
83,33.6875,10
83,33.6875,12
83,33.75,6
83,33.75,7
82,33.75,4
81,33.75,4
70,33.8125,5
68,33.8125,5
65,33.8125,4
67,33.8125,4
74,33.875,6
76,33.875,4
79,33.875,4
82,33.9375,4
82,33.9375,5
81,34,5
82,34,4
82,33.9375,5
83,34,6
81,34,6
81,34,6
83,34,6
83,34,6
77,34.0625,3
77,34.0625,12
74,34.0625,13
74,34.0625,13
70,34.0625,13
75,34.125,14
78,34.125,13
79,34.125,13
79,34.125,15
77,34.125,14
76,34.125,13
76,34.1875,15
80,34.1875,14
73,34.1875,10
72,34.1875,8
62,34.1875,498
59,34.1875,10
65,34.1875,9
82,34.1875,10
80,34.25,10
79,34.25,9
79,34.25,9
81,34.25,9
83,34.25,10
83,34.25,10
83,34.3125,9
83,34.3125,9
83,34.3125,9
83,34.3125,10
83,34.375,10
83,34.375,9
82,34.375,9
82,34.375,10
82,34.375,9
83,34.375,9
83,34.375,9
83,34.4375,9
83,34.4375,9
83,34.4375,9
83,34.4375,9
82,34.5,9
82,34.4375,9
83,34.5,9
83,34.5,6
83,34.5,6
83,34.5,6
80,34.5,6
74,34.5,6
74,34.5,5
74,34.5,7
80,34.5625,7
80,34.5625,7
82,34.5,8
83,34.5625,10
83,34.5,11
82,34.5,13
82,34.5625,13
78,34.5,16
75,34.5625,18
75,34.5625,19
75,34.5625,20
80,34.625,20
82,34.625,19
81,34.625,19
81,34.625,18
80,34.625,19
78,34.625,21
74,34.6875,20
77,34.6875,20
80,34.6875,19
78,34.6875,18
79,34.6875,18
83,34.6875,18
79,34.6875,18
79,34.6875,18
78,34.6875,20
82,34.6875,18
82,34.6875,19
80,34.6875,19
75,34.6875,19
74,34.6875,19
71,34.6875,18
76,34.75,18
78,34.6875,18
78,34.75,18
77,34.75,18
80,34.75,18
80,34.75,18
80,34.75,18
74,34.75,18
72,34.8125,18
67,34.75,17
68,34.75,18
76,34.75,18
83,34.8125,19
78,34.8125,17
77,34.8125,20
77,34.8125,18
81,34.8125,17
78,34.8125,18
78,34.875,19
78,34.875,18
82,34.875,19
82,34.875,19
83,34.8125,18
77,34.8125,18
77,34.875,17
75,34.875,18
78,34.875,18
81,34.875,20
80,34.875,19
74,34.8125,19
67,34.875,18
63,34.875,18
62,34.875,18
62,34.875,18
67,34.875,19
73,34.875,20
79,34.875,19
77,34.875,18
76,34.875,18
67,34.875,18
62,34.875,18
62,34.875,18
65,34.9375,19
70,34.875,20
75,34.9375,19
79,34.9375,18
78,34.875,18
76,34.9375,19
79,34.9375,20
80,34.9375,20
78,34.9375,19
80,34.9375,19
80,34.9375,20
82,34.9375,20
82,34.9375,19
81,34.9375,20
81,34.9375,20
83,35,21
80,35,19
74,35,20
68,34.9375,20
73,35,19
74,35,19
70,35,19
70,35,20
75,35,20
80,35,19
78,34.9375,20
81,35,20
82,34.9375,22
76,35,22
74,35,21
72,35.0625,23
75,35,24
64,35.0625,23
62,35,22
60,35,23
70,35.0625,22
70,35,22
71,35,21
70,35.0625,22
75,35.0625,23
77,35.0625,23
79,35.0625,23
76,35.0625,23
80,35.0625,25
77,35.0625,24
72,35.0625,23
70,35.0625,9
57,35.0625,7
83,35.125,10
